

 (9.66,0.14,-1.53)

 (10.86,-2.89,-1.84)


 (1.69,-12.73,2.09)


 (-3.74,-5.60,4.46)


 (-4.14,2.57,8.54)

 (-4.52,1.59,8.80)

 (-4.30,-0.64,8.98)


 (-1.73,4.25,8.04)

 (
0.66,7.04,6.70)

 (-5.21,7.16,3.60)

 (0.27,8.30,5.50)

 (1.42,4.11,9.47)

 (5.68,-2.79,-10.71)


 (-6.04,1.66,-4.91)


 (-4.15,6.63,-5.50)


 (-3.73,0.87,-8.62)


 (-4.13,4.05,-7.82)


 (-4.08,2.50,-8.60)


 (-4.10,3.32,-8.16)


 (-4.11,2.85,-8.40)


 (-4.05,3.14,-8.30)


 (-4.09,3.22,-8.25)


 (-4.03,3.99,-7.92)


 (-4.15,2.34,-8.65)


 (-4.07,3.61,-8.09)


 (-4.07,2.99,-8.36)


 (-4.04,2.88,-8.36)


 (-4.06,3.20,-8.25)


 (-4.07,3.23,-8.32)


 (-4.16,3.86,-8.02)


 (-4.13,3.52,-8.25)


 (-4.11,3.46,-8.17)


 (-4.15,3.41,-8.17)


 (-4.13,3.36,-8.20)


 (-4.10,3.33,-8.23)


 (-4.12,3.32,-8.21)


 (-4.11,3.20,-8.34)


 (-4.13,3.38,-8.27)


 (-4.13,3.35,-8.23)


 (-4.12,3.29,-8.20)


 (-4.12,3.37,-8.17)


 (-4.09,3.40,-8.20)


 (-4.12,3.12,-8.37)


 (-4.13,2.99,-8.42)


 (-4.11,3.20,-8.35)


 (-4.12,3.20,-8.24)


 (-4.12,3.60,-8.04)


 (-4.13,3.55,-8.11)


 (-4.13,3.52,-8.14)


 (-4.13,3.43,-8.20)


 (-4.12,3.56,-8.19)


 (-4.12,3.32,-8.20)


 (-4.10,3.38,-8.17)


 (-4.12,3.36,-8.20)


 (-4.12,3.37,-8.20)


 (-4.13,3.40,-8.21)


 (-4.12,3.39,-8.20)


 (-4.14,3.41,-8.30)


 (-4.13,3.38,-8.20)


 (-4.13,3.36,-8.17)


 (-4.12,3.36,-8.19)


 (-4.13,3.36,-8.18)


 (-4.11,3.34,-8.23)


 (-4.11,3.35,-8.24)


 (-4.12,3.34,-8.30)


 (-4.10,3.34,-8.26)


 (-4.12,3.35,-8.18)


 (-4.13,3.34,-8.20)


 (-4.13,3.34,-8.21)


 (-4.11,3.33,-8.29)


 (-4.12,3.32,-8.30)


 (-4.12,3.29,-8.28)


 (-4.11,3.26,-8.22)


 (-4.11,3.28,-8.20)


 (-4.10,3.27,-8.22)


 (-4.11,3.27,-8.24)


 (-4.11,3.27,-8.30)


 (-4.11,3.26,-8.29)


 (-4.13,3.28,-8.31)


 (-4.11,3.29,-8.20)


 (-4.12,3.33,-8.21)


 (-4.12,3.32,-8.19)


 (-4.14,3.30,-8.22)


 (-4.10,3.32,-8.25)


 (-4.09,3.12,-8.35)


 (-4.11,3.20,-8.35)


 (-4.13,3.25,-8.25)


 (-4.08,2.90,-8.42)


 (-4.09,2.57,-8.47)


 (-4.12,2.84,-8.42)


 (-4.09,2.69,-8.50)


 (-4.10,2.63,-8.59)


 (-4.08,2.52,-8.59)


 (-4.17,3.36,-7.98)


 (-4.09,2.74,-8.41)


 (-4.12,3.08,-8.31)


 (-4.13,3.08,-8.29)


 (-4.12,3.12,-8.30)


 (-4.10,3.27,-8.38)


 (
-2.90,6.83,-6.78)

 (-8.46,1.27,-10.11)


 (-3.44,1.33,-8.84)


 (-4.42,2.57,-8.37)


 (-4.25,6.26,-6.09)


 (-4.18,2.83,-8.43)


 (-4.20,4.34,-7.75)


 (-4.19,4.48,-7.64)


 (0.69,18.24,-8.40)


 (-13.25,-3.53,-22.2
1)

 (-2.99,1.49,-11.67)


 (6.12,9.87,1.05)

 (3.33,1.55,6.27)

 (-6.41,8.82,1.3
1)

 (-3.27,5.85,7.39)

 (-4.51,4.61,5.60)

 (13.98,2.27,-5.85)


 (15.16,3.63,-0.55)


 (13.79,2.89,-0.78)


 (14.26,2.97,-0.60)


 (21.60,5.49,-0.58)


 (29.73,7.02,0.24)

 (2.08,23.07,-4.29)


 (21.80,24.51,-4.60)


 (9.65,10.97,0.92)

 (37.98,-6.85,-1.86)


 (7.63,11.73,-7.57)


 (7.09,10.68,0.57)

 (7.95,12.61,-4.79)


 (13.05,18.32,-13.89
)

 (9.72,16.58,-5.35)


 (8.30,8.76,-0.80)

 (10.45,6.48,-18.49)


 (10.13,5.28,-6.57)


 (35.58,4.72,7.34)

 (19.54,2.26,0.10)

 (10.05,-5.53,-15.34
)

 (9.25,2.70,1.28)

 (12.53,10.37,-2.65)


 (9.32,3.19,-0.97)

 (18.08,7.49,1.42)

 (6.68,-2.61,-4.59)


 (10.29,-1.43,4.15)


 (7.56,-7.71,-0.75)


 (4.01,-5.43,-5.83)


 (-4.03,5.47,-7.20)


 (-7.30,4.42,6.21)

 (-6.04,7.41,5.60)

 (-4.42,6.70,5.64)

 (-7.41,5.35,5.70)

 (14.07,1.71,-2.76)


 (22.91,4.79,-1.09)


 (8.82,1.48,-0.55)

 (17.44,3.31,-0.54)


 (9.00,3.37,-0.46)


 (15.51,4.68,-0.95)


 (39.40,6.73,-2.77)


 (39.40,-6.46,10.00)


 (34.32,-1.60,-7.52)


 (39.40,13.36,-7.13)


 (39.40,13.51,-6.13)


 (39.40,15.64,-11.16
)

 (39.40,9.18,-7.72)


 (17.10,-0.53,0.43)


 (36.76,12.48,-6.10)


 (28.99,4.04,-2.46)


 (32.25,-4.89,2.44)


 (27.56,10.18,-18.22
)

 (39.40,6.82,-3.22)


 (39.40,13.85,-6.40)


 (39.40,17.17,-4.46)


 (39.40,27.00,-11.98
)

 (39.40,19.23,-18.16
)

 (33.16,5.12,-16.97)


 (39.40,11.09,-3.44)


 (31.56,-9.32,4.27)


 (32.86,2.05,2.05)

 (31.58,1.84,1.78)

 (20
.58,-0.46,7.14)

 (33.13,-5.07,-4.25)


 (36.92,8.15,-2.14)


 (23.23,-22.34,15.39
)

 (29.58,-4.70,2.66)


 (15.26,-12.50,4.52)


 (27.30,4.25,-3.10)


 (38.19,9.28,-1.94)


 (39.40,2.71,3.74)

 (39.40,9.85,-12.13)


 (39.40,6.30,-6.11)


 (39.40,16.98,-13.23
)

 (39.40,-0.69,-12.66
)

 (23.51,4.70,13.
87)

 (39.39,8.93,-4.16)


 (39.40,2.84,-11.82)


 (39.40,10.79,-6.64)


 (39.40,10.87,-1.01)


 (39.40,4.62,-5.43)


 (39.39,-16.20,11.33
)

 (39.40,-13.17,16.22
)

 (36.21,8.10,-4.48)


 (39.40,-3.16,-9.27)


 (39.40,18.03,-1.67)


 (39.39,-2.33,-0.02)


 (39.40,8.28,-11.59)


 (39.40,0.23,-2.37)


 (21.46,12.53,-1.94)


 (7.51,-2.88,-1.00)


 (39.40,-3.17,-23.75
)

 (39.40,-12.59,-21.6
5)

 (39.40,1.78,4.41)

 (39.40,14.17,-9.51)


 (39.40,11.63,-5.55)


 (39.40,10.49,-2.20)


 (39.40,9.95,-4.89)


 (39.40,18.50,-24.12
)

 (26.82,8.71,-4.32)


 (39.40,3.29,-4.46)


 (39.40,0.19,-6.30)


 (39.40,14.67,-10.25
)

 (39.40,7.94,-0.54)


 (39.40,3.07,-11.91)


 (24.67,4.63,-1.58)


 (39.40,5.93,-5.13)


 (38.55,-5.23,9.92)


 (29.88,4.17,-0.74)


 (38.70,-0.35,4.01)


 (23.20,3.48,3.54)

 (39.40,7.50,-4.43)


 (31.28,5.35,-6.51)


 (7.03,1.94,0.00)

 (1.50,-0.43,13.63)


 (17.44,34.94,-1.43)


 (-8.32,-14.89,-13.0
6)

 (-0.18,0.11,0.99)

 (-4.59,-3.50,-2.43)


 (-0.36,-5.99,-7.99)


 (0.73,-8.50,-1.91)


 (-1.82,8.75,6.90)

 (-2.86,5.06,-8.40)


 (26.57,32.44,3.05)


 (-5.25,-2.26,4.25)


 (-5.71,2.54,4.10)

 (-5.06,5.45,6.24)

 (-4.08,7.11,5.26)

 (-4.14,7.11,5.23)

 (-3
.74,4.74,7.64)

 (-4.27,2.78,8.54)

 (-4.25,3.34,8.29)


 (-4.25,2.98,8.43)

 (-4.27,2.78,8.43)

 (-4.52,2.48,8.55)

 (-4.19,1.45,8.97)

 (-3.20,4.48,8.38)

 (-3.70,0.70,9.03)

 (0.51,3.24,10.92)

 (-2.66,0.75,8.52)

 (-7.19,2.00,7.18)

 (-5.74,5.71,6.91)

 (-3.75,0.51,8.58)

 (-4.49,2.32,8.58)

 (-4.42,2.17,8.61)

 (-3.84,1.03,8.02)

 (-4.40,2.15,8.58)

 (-4.40,2.22,8.60)

 (-4.36,2.13,8.73)

 (-4.37,2.30,8.64)

 (-4.36,2.43,8.61)

 (-4.36,2.42,8.58)

 (-4.41,2.21,8.42)

 (-4.35,2.31,8.52)

 (-4.41,2.00,8.71)

 (-4.30,2
.89,8.47)

 (-4.39,2.20,8.67)

 (-4.25,2.53,8.63)

 (3.33,0.87,4.16)

 (-3.07,9.07,-6.63)


 (21.66,3.20,-6.37)


 (39.40,5.34,-2.51)


 (39.40,14.73,-7.41)


 (39.39,8.16,-20.97)


 (39.40,12.82,-3.54)


 (39.40,12.50,1.80)


 (32.17,4.59,-2.76)


 (39.35,7.22,3.25)

 (33.73,3.61,-14.49)


 (18.53,13.75,-12.40
)

 (17.94,-10.72,-5.26
)

 (10.14,23.02,-21.53
)

 (17.34,5.26,-5.51)


 (10.30,12.26,-4.02)


 (35.23,4.21,0.28)

 (25.73,17.30,-4.31)


 (21.18,-1.31,-7.46)


 (39.40,7.82,0.37)

 (17.43,2.20,-1.43)


 (38.23,4.27,-19.58)


 (39.40,10.57,-5.82)


 (39.40,5.55,-4.92)


 (39.37,9.69,-11.45)


 (39.4
0,-5.25,-7.54)

 (36.86,-2.36,-15.84
)

 (27.66,12.66,2.10)


 (39.40,-1.02,18.27)


 (39.40,1.81,-4.61)


 (26.50,8.16,-17.74)


 (31.74,11.51,1.31)


 (39.40,5.26,-0.49)


 (39.40,6.88,-8.73)


 (39.40,10.88,-3.64)


 (30.38,-11.91,3.28)


 (15.93,2.08,-20.33)


 (18.26,12.51,7.52)


 (39.40,8.44,-7.54)


 (39.40,0.92,-7.09)


 (39.40,10.42,-2.14)


 (39.40,10.31,-2.21)


 (39.40,8.41,-20.90)


 (38.08,4.54,-1.09)


 (39.40,6.61,-5.41)


 (39.40,1.16,-1.17)


 (39.40,14.21,-11.25
)

 (39.40,8.01,-3.61)


 (39.39,8.41,-7.01)


 (26.33,2.22,-5.99)


 (33.92,16.78,-11.34
)

 (1.77,6.22,3.33)

 (32.43,-5.16,-14.42
)

 (13.35,11.03,4.87)


 (34.44,3.46,-6.69)


 (19.18,2.53,-6.51)


 (32.27,6.49,-3.40)


 (39.40,7.45,-2.65)


 (39.37,-1.90,-13.90
)

 (11.07,12.30,-19.58
)

 (39.38,11.32,-8.41)


 (39.40,8.49,-6.23)


 (39.40,16.64,5.40)


 (38.82,10.36,-7.30)


 (39.40,2.88,-4.10)


 (39.40,15.57,-7.55)


 (39.40,6.61,-1.73)


 (39.40,-10.51,-21.3
6)

 (33.27,7.44,-5.26)


 (39.40,8.56,-1.35)


 (39.40,3.06,-3.01)


 (39.40,7.47,-1.33)


 (39.40,1.41,-10.46)


 (39.40,16.43,-3.34)


 (39.40,5.35,-5.11)


 (39.40,5.99,1.88)

 (38.60,3.71,-1.75)


 (39.40,6.95,-9.80)


 (35.49,4.93,-27.27)


 (39.40,7.23,-3.37)


 (39.40,11.79,-34.12
)

 (39.40,0.14,-6.77)


 (39.40,2.96,-13.92)


 (39.40,-1.84,-4.46)


 (38.89,5.88,0.02)

 (39.40,8.57,2.66)


 (39.40,7.71,-11.97)


 (39.40,8.02,-22.42)


 (39.40,7.22,1.01)

 (39.40,3.49,-11.48)


 (39.40,11.75,-0.26)


 (39.40,-0.14,-14.47
)

 (31.19,3.45,-10.56)


 (39.07,5.69,-11.11)


 (39.13,13.45,-21.68
)

 (27.36,-0.73,-7.03)


 (39.40,8.01,-10.59)


 (23.99,4.44,9.26)

 (35.25,2.11,-0.03)


 (39.40,8.82,-2.44)


 (39.40,
-3.78,-4.58)

 (39.40,7.22,0.85)

 (39.34,-13.65,-12.7
6)

 (39.40,13.79,-14.92
)

 (39.40,3.79,-2.66)


 (39.37,11.93,-27.68
)

 (39.40,0.22,-3.65)


 (39.40,7.23,-8.87)


 (39.40,-3.61,5.56)


 (-8.94,-0.15,10.82)


 (-0.07,-10.99,-1.52
)

 (-3.22,6.92,-6.32)


 (-3.87,6.79,-4.35)


 (-4.20,1.26,-8.99)


 (-4.15,3.52,-8.13)


 (-4.61,6.14,-6.19)


 (-4.07,5.56,-6.25)


 (-3.93,3.02,-8.54)


 (-4.44,4.56,-7.46)


 (-4.64,4.38,-7.23)


 (-3.85,4.68,-6.69)


