 (-4.15,5.73,-6.83)


 (-4.13,5.72,-6.86)


 (-4.05,5.65,-7.01)


 (-4.14,5.73,-6.91)


 (-4.13,5.73,-6.88)


 (-4.13,5.72,-6.82)


 (-4.14,5.74,-6.84)


 (-4.15,5.74,-6.81)


 (-4.15,5.75,-6.86)


 (-4.13,5.74,-6.89)


 (-4.14,5.74,-6.89)


 (-4.11,5.72,-6.84)


 (-4.13,5.77,-6.80)


 (-4.11,5.74,-6.81)


 (-4.13,5.74,-6.84)


 (-4.11,5.74,-6.86)


 (-4.13,5.74,-6.90)


 (-4.13,5.74,-6.79)


 (-4.14,5.76,-6.81)


 (-4.13,5.73,-6.76)


 (-4.13,5.75,-6.81)


 (-4.11,5.76,-6.84)


 (-4.13,5.74,-6.91)


 (-4.12,5.77,-6.91)


 (-4.12,5.76,-6.80)


 (-4.12,5.76,-6.79)


 (-4.12,5.75,-6.80)


 (-4.15,5.74,-6.82)


 (-4.14,5.78,-6.84)


 (-4.15,5.74,-6.90)


 (-4.13,5.77,-6.81)


 (-4.13,5.76,-6.81)


 (-4.11
,5.67,-6.89)

 (-4.13,5.96,-6.64)


 (-
3.66,10.24,-4.85)

 (23.50,23.80,-1.52)


 (39.58,-4.98,0.51)


 (39.58,13.40,-8.91)


 (39.58,14.48,-5.29)


 (38.70,8.53,-1.78)


 (27.72,3.79,2.31)

 (15.60,-0.92,3.67)


 (39.58,17.69,-0.08)


 (23.82,-1.76,4.85)


 (39.58,12.36,-5.49)


 (39.58,6.77,-6.39)


 (30.25,13.66,6.74)


 (30.49,13.51,-19.97
)

 (39.58,0.83,-6.27)


 (28.71,8.26,20.19)


 (23.86,5.58,0.68)

 (5.05,15.86,11.73)


 (7.48,-3.68,17.70)


 (15.64,4.13,10.06)


 (7.76,7.30,-1.38)

 (-1.00,0.00,10.87)


 (-5.64,2.64,-1.78)


 (-3.67,0.79,8.77)

 (14.95,-3.01,-6.01)


 (8.90,-2.84,-1.55)


 (10.01,-0.34,-3.39)


 (25.39,8.86,2.85)

 (2.19,-2.37,9.89)

 (13.97,-1.66,6.21)


 (23.30,-0.59,-0.94)


 (15.24,1.59,6.76)

 (-2.87,8.84,10.67)


 (9.78,11.21,17.04)


 (-1.81,3.53,9.21)

 (-3.15,-2.80,8.37)


 (-3.29,1.62,11.61)


 (39.56,7.59,-11.97)


 (0.11,9.14,1.90)

 (39.58,11.57,-3.23)


 (39.58,-18.30,-5.58
)

 (39.58,16.07,-10.47
)

 (35.04,-2.78,-21.21
)

 (39.58,10.17,-1.28)


 (39.58,5.80,-7.27)


 (39.58,7.39,0.24)

 (30.48,20.85,-9.73)


 (39.58,6.46,-3.66)


 (39.58,9.20,-10.77)


 (39.58,7.17,-11.66)


 (39.58,5.77,-4.95)


 (30.15,0.87,-1.29)


 (18.65,11.55,-3.08)


 (39.58,5.40,-2.60)


 (39.58,4.04,-5.93)


 (33
.14,22.63,-9.68)

 (25.14,2.55,-1.43)


 (38.98,9.59,-3.03)


 (39.58,7.42,-1.92)


 (38.82,-18.24,-39.0
4)

 (-2.36,4.62,-1.07)


 (-2.84,0.49,-9.03)


 (-3.87,8.07,-4.12)


 (2.52,-7.64,0.17)

 (-3.40,8.32,-5.29)


 (-0.92,12.71,-0.21)


 (39.36,7.98,-1.59)


 (39.58,8.54,-6.81)


 (39.58,18.53,-8.11)


 (39.58,5.43,-7.38)


 (39.58,16.39,-4.36)


 (31.53,9.22,-10.27)


 (35.97,14.69,4.55)


 (39.58,3.90,-2.99)


 (39.58,16.56,-8.23)


 (39.58,14.21,-11.20
)

 (39.58,3.12,-4.60)


 (39.34,8.04,0.44)

 (39.58,5.14,-0.87)


 (39.58,1.73,-7.47)


 (39.58,5.75,-9.08)


 (39.58,-2.53,-6.46)


 (39.58,5.81,-7.92)


 (39.58,4.27,-6.36)


 (39.58,9.26,-3.73)


 (18.67,6.26,-2.94)


 (9.46,1.33,10.38)

