 (-0.92,-4.40,-7.37)


 (0.92,-5.19,-9.54)


 (0.24,-3.40,-9.30)


 (-1.10,-3.98,-9.92)


 (4.32,-0.38,-11.41)


 (7.05,-0.99,-6.42)


 (9.78,2.59,-5.06)

 (8.46,3.30,-5.97)

 (5.77,2.18,-7.95)

 (2.43,2.35,-9.51)

 (3.16,1.71,-9.47)

 (3.25,0.44,-9.51)

 (2.07,1.59,-9.84)

 (2.04,0.43,-9.93)

 (3.02,-0.86,-10.42)


 (3.58,9.18,-7.04)

 (13.60,8.98,0.12)

 (23.81,1.28,5.97)

 (3.81,-6.37,-2.22)


 (11.87,-18.52,19.82
)

 (6.72,1.03,1.50)

 (39.47,14.18,-9.56)


 (39.47,7.53,-7.08)


 (39.47,8.40,-5.05)


 (37.04,4.16,-1.75)


 (18.87,1.92,10.80)


 (9.16,1.24,10.99)

 (8.01,-6.63,2.73)

 (9.54,5.15,3.61)

 (-1.65,1.32,4.55)

 (9.95,16.69,7.40)

 (9.19,6.16,7.28)

 (29.47,11.84,17.41)


 (30.95,9.61,3.45)

 (35.39,10.54,1.03)


 (21.79,4.01,0.75)


 (33.50,10.18,-3.23)


 (32.59,24.98,8.89)


 (31.42,11.26,4.89)


 (39.23,2.06,-8.72)


 (18.11,3.34,7.92)

 (8.42,11.61,6.92)


 (15.90,0.50,4.44)

 (6.27,11.75,0.14)


 (18.08,18.21,13.43)


 (32.25,28.12,1
0.71)

 (5.63,10.46,-1.90)


 (26.89,15.11,-4.92)


 (25.67,16.45,-0.31)


 (30.71,25.19,-8.56)


 (30.68,13.07,-4.58)


 (23.09,10.36,-1.54)


 (11.45,5.49,-1.30)


 (18.32,17.39,1.39)


 (18.35,5.79,-1.84)


 (27.73,8.76,-11.80)


 (37.64,9.27,-8.33)


 (26.89,0.97,-1.18)


 (22.54,7.79,-3.25)


 (2.83,8.23,1.99)

 (24.42,10.73,3.68)


 (39.47,10.36,-3.73)


 (35.19,9.52,-2.34)


 (31.60,11.04,2.09)


 (31.97,34.70,-22.11
)

 (39.47,11.38,-13.37
)

 (39.47,7.66,-7.46)


 (30.78,13.23,3.77)


 (39.29,2.73,-1.62)


 (39.47,11.53,-1.51)


 (39.47,-3.17,-6.28)


 (27.57,2.98,-1.32)


 (37.75,4.87,0.16)

 (19.56,7.13,-0.39)


 (26.24,16.82,-5.07)


 (38.94,3.38,3.96)

 (39.47,2.93,-4.26)


 (36.98,11.28,-8.43)


 (30.58,11.31,-7.16)


 (38.45,8.62,-2.77)


 (32.12,1.10,-5.68)


 (34.91,10.76,-4.27)


 (35.55,3.98,-2.54)


 (12.28,12.58,-3.60)


 (39.47,13.95,-4.99)


 (33.03,5.59,-1.07)


 (29.66,11.84,2.35)


 (26.86,13.72,-0.88)


 (39.11,4.22,-3.50)


 (34.00,-1.60,-4.55)


 (4.44,12.02,-7.00)


 (32.10,9.24,-6.71)


 (39.47,2.57,-2.77)


 (23.27,3.56,-1.50)


 (21.51,2.04,-3.11)


 (39.47,6.50,-1.11)


 (39.42,11.46,-7.02)


 (33.90,1.57,-4.59)


 (3
8.15,15.39,-2.84)

 (28.37,16.24,-14.69
)

 (20.29,4.94,-1.03)


 (32.91,4.68,-9.19)


 (36.48,19.30,-14.74
)

 (38.91,11.28,-23.40
)

 (39.47,7.53,-4.56)


 (28.23,8.14,-3.93)


 (29.77,6.98,-2.11)


 (37.24,-1.00,-3.07)


 (39.40,1.73,-7.34)


 (24.92,1.24,0.35)

 (39.43,11.69,-5.41)


 (15.58,7.46,-8.40)


 (37.44,19.08,-5.11)


 (32.46,9.41,-8.22)


 (27.18,12.52,-4.47)


 (13.91,2.83,-2.35)


 (33.35,7.39,-3.74)


 (39.18,17.07,-20.05
)

 (38.99,3.81,-1.43)


 (27.96,5.50,-4.53)


 (39.47,8.52,-3.64)


 (36.42,3.57,-2.69)


 (39.47,9.75,-5.34)


 (39.47,5.32,-1.84)


 (39.47,9.44,-2.50)


 (37.60,2.49,-1.51)


 (39.47,5.60,-0.68)


 (39.47,3.96,0.14)

 (39.47,11.28,-4.06)


 (39.47,6.03,-2.51)


 (39.47,6.08,-4.07)


 (39.47,5.72,1.51)

 (31.02,3.29,-4.53)


 (17.89,14.60,4.02)


 (29.22,10.67,-5.80)


 (30.26,16.59,1.50)


 (26.53,6.22,-0.80)


 (20.36,-0.27,-1.61)


 (36.38,-1.02,-3.89)


 (25.90,10.83,-7.96)


 (39.47,11.61,-1.07)


 (39.47,10.35,-7.51)


 (14.97,5.17,-3.92)


 (16.13,14.32,-20.25
)

 (13.17,22.59,-8.38)


 (38.92,5.02,-2.47)


 (38.40,8.93,-8.62)


 (38.44,6.74,-9.97)


 (16.68,7.38,-7.65)


 (28.44,11.05,-14.21
)

 (24.71,5.98,-14.39)


 (29.59,-1.96,-2.19)


 (25.10,9.01,-6.72)


 (39.47,5.18,-3.80)


 (34.61,14.73,-10.91
)

 (38.09,10.
73,-17.56)

 (28.48,0.80,1.67)

 (37.21,-
0.09,-4.30)

 (37.11,10.02,-19.49
)

 (37.24,8.04,-8.20)


 (20.97,5.90,-3.65)


 (35.45,6.91,-8.19)


 (31.39,9.92,-22.70)


 (37.80,9.97,-21.08)


 (37.03,-1.52,0.09)


 (16.82,2.92,-0.40)


