 (-0.47,1.66,-1.18)


 (-0.46,7.29,-8.81)


 (10.00,0.45,0.74)

 (9.05,-1.38,-3.24)


 (2.62,-1.09,-6.33)


 (0.68,17.81,18.73)


 (10.66,3.36,-6.04)


 (-18.68,5.60,27.28)


 (6.30,0.80,-8.73)

 (-2.23,-0.34,-9.18)


 (-4.20,5.17,-7.14)


 (1.98,11.63,-9.77)


 (-4.92,6.24,-9.66)


 (-3.43,3.85,-7.40)


 (-2.38,6.89,2.96)

 (-4.24,4.64,-7.69)


 (-4.39,5.79,0.53)

 (37.49,6.64,-0.15)


 (9.89,-6.72,6.07)

 (10.14,-3.58,4.75)


 (36.98,10.01,-8.97)


 (29.77,7.38,-0.73)


 (39.34,3.17,-16.76)


 (10.28,1.11,7.09)

 (15.23,-16.12,2.33)


 (5.94,1.19,1.73)

 (4.16,-2.60,8.39)

 (9.56,-5.79,-1.81)


 (-2.71,2.65,-10.15)


 (2.21,-4.78,-7.26)


 (-4.41,6.73,-5.26)


 (-5.73,-0.28,-9.44)


 (14.23,9.36,-1.52)


 (39.31,15.07,-33.61
)

 (3.91,4.41,7.62)

 (8.77,5.95,7.63)


 (15.90,4.52,-0.25)


 (6.30,7.60,21.07)


 (22.88,-6.33,6.10)


 (30.08,13.69,
3.88)

 (17.21,3.91,-2.18)


 (10.35,7.85,2.75)

 (39.33,-8.99,-1.78)


 (39.34,34.64,-26.80
)

 (-0.12,0.94,-6.85)


 (-12.46,2.54,-1.57)


 (-2.16,10.91,6.72)


 (-1.01,-3.72,3.63)


 (-3.13,0.99,-8.98)


 (-4.03,2.45,-8.79)


 (-2.76,0.21,-9.66)


 (6.14,-7.16,-2.14)


 (-3.51,-2.57,-11.69
)

 (-6.96,-5.35,-12.72
)

 (-4.52,8.37,-0.76)


 (-4.24,3.16,-8.51)


 (-3.29,5.83,-6.97)


 (13.89,0.91,2.90)

 (31.66,4.16,-1.26)


 (27.01,5.79,2.32)

 (19.41,23.59,-2.27)


 (-7.31,-10.28,-6.22
)

 (-4.29,3.84,-8.05)


 (-4.00,3.15,-8.37)


 (-4.19,4.08,-7.91)


 (-4.22,4.51,-7.72)


 (-7.15,2.83,-4.48)


 (0.97,7.04,-8.79)

 (-1.66,3.59,-10.30)


